id,time,temp,wv,humi
402,2019-08-02 00:01,26.2,.4,85.7
402,2019-08-02 00:02,26.3,0,85.7
402,2019-08-02 00:03,26.3,0,85.7
402,2019-08-02 00:04,26.2,0,85.9
402,2019-08-02 00:05,26.3,0,86
402,2019-08-02 00:06,26.3,0,85.9
402,2019-08-02 00:07,26.2,0,85.9
402,2019-08-02 00:08,26.2,0,85.9
402,2019-08-02 00:09,26.2,0,86
402,2019-08-02 00:10,26.2,0,86.1
402,2019-08-02 00:11,26.2,0,86.2
402,2019-08-02 00:12,26.3,0,86.2
402,2019-08-02 00:13,26.3,0,86.1
402,2019-08-02 00:14,26.2,0,86.3
402,2019-08-02 00:15,26.2,0,86.2
402,2019-08-02 00:16,26.2,0,86.3
402,2019-08-02 00:17,26.2,0,86.4
402,2019-08-02 00:18,26.2,.9,86.6
402,2019-08-02 00:19,26.2,.6,86.7
402,2019-08-02 00:20,26.1,.5,86.8
402,2019-08-02 00:21,26.1,0,86.9
402,2019-08-02 00:22,26.1,.4,87
402,2019-08-02 00:23,26.1,0,87.1
402,2019-08-02 00:24,26.1,0,87.2
402,2019-08-02 00:25,26.1,0,87.2
402,2019-08-02 00:26,26,0,87.4
402,2019-08-02 00:27,26,0,87.4
402,2019-08-02 00:28,26,0,87.5
402,2019-08-02 00:29,26,0,87.6
402,2019-08-02 00:30,26,0,87.7
402,2019-08-02 00:31,26.1,0,87.7
402,2019-08-02 00:32,26.1,0,87.7
402,2019-08-02 00:33,26.1,0,87.6
402,2019-08-02 00:34,26.1,0,87.6
402,2019-08-02 00:35,26.1,0,87.5
402,2019-08-02 00:36,26,0,87.6
402,2019-08-02 00:37,26,0,87.7
402,2019-08-02 00:38,25.9,0,87.9
402,2019-08-02 00:39,25.9,.9,88
402,2019-08-02 00:40,25.8,.3,88.2
402,2019-08-02 00:41,25.8,.7,88.4
402,2019-08-02 00:42,25.8,.7,88.6
402,2019-08-02 00:43,25.7,.7,88.7
402,2019-08-02 00:44,25.7,0,88.8
402,2019-08-02 00:45,25.6,0,89
402,2019-08-02 00:46,25.6,0,89.3
402,2019-08-02 00:47,25.6,0,89.4
402,2019-08-02 00:48,25.6,0,89.5
402,2019-08-02 00:49,25.6,0,89.6
402,2019-08-02 00:50,25.7,0,89.5
402,2019-08-02 00:51,25.7,0,89.5
402,2019-08-02 00:52,25.7,0,89.3
402,2019-08-02 00:53,25.7,0,89.3
402,2019-08-02 00:54,25.7,0,89.2
402,2019-08-02 00:55,25.7,0,89.2
402,2019-08-02 00:56,25.7,0,89.2
402,2019-08-02 00:57,25.7,0,89.1
402,2019-08-02 00:58,25.8,0,89
402,2019-08-02 00:59,25.8,0,88.9
402,2019-08-02 01:00,25.8,0,88.8
402,2019-08-02 01:01,25.8,0,88.8
402,2019-08-02 01:02,25.8,1.3,88.9
402,2019-08-02 01:03,25.8,1.1,89
402,2019-08-02 01:04,25.8,.9,89.1
402,2019-08-02 01:05,25.8,1.2,89
402,2019-08-02 01:06,25.8,.9,88.9
402,2019-08-02 01:07,25.8,.9,89
402,2019-08-02 01:08,25.9,.5,88.9
402,2019-08-02 01:09,25.9,.6,88.8
402,2019-08-02 01:10,25.9,.4,88.7
402,2019-08-02 01:11,25.9,.7,88.6
402,2019-08-02 01:12,25.9,.6,88.7
402,2019-08-02 01:13,26,.5,88.6
402,2019-08-02 01:14,26,.5,88.4
402,2019-08-02 01:15,26,.6,88.3
402,2019-08-02 01:16,26,.6,88.2
402,2019-08-02 01:17,26,.3,88.3
402,2019-08-02 01:18,25.9,0,88.3
402,2019-08-02 01:19,25.9,0,88.3
402,2019-08-02 01:20,25.9,0,88.3
402,2019-08-02 01:21,26,0,88.3
402,2019-08-02 01:22,26,0,88.2
402,2019-08-02 01:23,26,0,88.2
402,2019-08-02 01:24,26,0,88.1
402,2019-08-02 01:25,26,0,88.1
402,2019-08-02 01:26,26,0,88.1
402,2019-08-02 01:27,26,0,88.2
402,2019-08-02 01:28,26,0,88.1
402,2019-08-02 01:29,26,0,88.1
402,2019-08-02 01:30,25.9,.1,88.2
402,2019-08-02 01:31,25.8,.9,88.4
402,2019-08-02 01:32,25.7,.8,88.7
